epoch,accuracy,loss,val_accuracy,val_loss
0,0.9503173828125,0.17948658764362335,0.5261763334274292,4.783146381378174
1,0.9709014296531677,0.11525540798902512,0.3506520390510559,3.6400017738342285
2,0.9719231724739075,0.10677721351385117,0.8643906712532043,1.4344500303268433
3,0.9742123484611511,0.09636851400136948,0.8653901219367981,1.108730435371399
4,0.9749411344528198,0.09227842837572098,0.6297553777694702,1.4842668771743774
5,0.9746765494346619,0.0925268679857254,0.86261385679245,1.2142627239227295
6,0.9732872843742371,0.11783398687839508,0.7338579297065735,5.67087984085083
7,0.9998998641967773,0.0015372210182249546,0.86370849609375,1.79951012134552
8,0.9999499917030334,0.0005446098512038589,0.8622965216636658,2.0047476291656494
9,0.9999499320983887,0.0010389150120317936,0.8462575674057007,2.660048246383667
