epoch,accuracy,loss,val_accuracy,val_loss
0,0.5829182863235474,3.9307358264923096,0.8630298376083374,1.976855993270874
1,0.7765192985534668,1.2399317026138306,0.9822837114334106,0.46486696600914
2,0.8513257503509521,0.5457796454429626,0.9827655553817749,0.2210489809513092
3,0.8821194767951965,0.40163058042526245,0.9832141995429993,0.1389002650976181
4,0.9086894392967224,0.3204383850097656,0.9928832650184631,0.09129118919372559
5,0.9355564713478088,0.2585448622703552,0.9997310638427734,0.06194396689534187
6,0.9557602405548096,0.21203358471393585,0.9998164772987366,0.048516690731048584
7,0.9661060571670532,0.18081070482730865,0.999815821647644,0.040797602385282516
8,0.9713953733444214,0.15873944759368896,0.9998304843902588,0.037203848361968994
9,0.9741352200508118,0.14391469955444336,0.9998425841331482,0.03535870462656021
10,0.975973904132843,0.1328430026769638,0.999822199344635,0.034204479306936264
11,0.9779492616653442,0.1237906888127327,0.9998139142990112,0.03327430784702301
12,0.979441225528717,0.11686041951179504,0.9998196363449097,0.03254725784063339
13,0.9805616736412048,0.11130823194980621,0.9998202919960022,0.03179747611284256
14,0.9817527532577515,0.10608681291341782,0.9998202919960022,0.031039776280522346
15,0.9827321767807007,0.10238776355981827,0.9998260140419006,0.030315937474370003
16,0.9835008382797241,0.09901588410139084,0.9998215436935425,0.0296973567456007
17,0.9843576550483704,0.09549008309841156,0.9998209476470947,0.02912520430982113
18,0.9850894212722778,0.09323923289775848,0.9998056292533875,0.02858213521540165
19,0.985619068145752,0.09084245562553406,0.9998298287391663,0.028089070692658424
20,0.9863771796226501,0.0885573998093605,0.999828577041626,0.0276841688901186
21,0.9868898391723633,0.08705800026655197,0.9997788667678833,0.0273114126175642
22,0.9872732162475586,0.08514422178268433,0.999850869178772,0.02681294083595276
23,0.9879515767097473,0.08316460251808167,0.9998534321784973,0.026466786861419678
24,0.988393247127533,0.08203738927841187,0.9997979998588562,0.02619286999106407
25,0.9885839819908142,0.08049919456243515,0.9998260140419006,0.025733204558491707
26,0.9891651272773743,0.07882048189640045,0.999860405921936,0.025371238589286804
27,0.9895097017288208,0.07795649021863937,0.9998018145561218,0.02519385516643524
28,0.9895905256271362,0.07666974514722824,0.9998094439506531,0.02481822483241558
29,0.9901258945465088,0.07520832866430283,0.9998087882995605,0.024511609226465225
30,0.9904627799987793,0.07425405830144882,0.9998094439506531,0.024219296872615814
31,0.9905628561973572,0.07261250168085098,0.9998094439506531,0.023883525282144547
32,0.9912234544754028,0.07076405733823776,0.9998094439506531,0.023532480001449585
33,0.991511344909668,0.06990578770637512,0.9998139142990112,0.023169033229351044
34,0.9914586544036865,0.068844735622406,0.999828577041626,0.02289755456149578
35,0.9918943643569946,0.06775116175413132,0.9998087882995605,0.02268376015126705
36,0.9920865297317505,0.0671398714184761,0.9998349547386169,0.022335922345519066
37,0.991960346698761,0.0662074089050293,0.9998120069503784,0.022199226543307304
38,0.9924137592315674,0.06498976796865463,0.9998120069503784,0.02186724916100502
39,0.9925704002380371,0.06438171118497849,0.9998432397842407,0.02151968888938427
40,0.992522120475769,0.06353270262479782,0.9998247623443604,0.021311935037374496
41,0.9928539991378784,0.06249874830245972,0.9998170733451843,0.02113133855164051
42,0.9928933382034302,0.0622587651014328,0.9998477101325989,0.020834244787693024
43,0.9927819967269897,0.061594679951667786,0.9998515248298645,0.020631106570363045
44,0.9931678771972656,0.06070949509739876,0.9998298287391663,0.02040940336883068
45,0.9931581616401672,0.06044403836131096,0.9998260140419006,0.020256323739886284
46,0.9930784106254578,0.05981560796499252,0.9998546838760376,0.020026670768857002
47,0.9934056997299194,0.05902577191591263,0.9998317360877991,0.019854746758937836
48,0.9933337569236755,0.05893988162279129,0.9998247623443604,0.019734852015972137
49,0.9933187961578369,0.05825904756784439,0.999860405921936,0.019461732357740402
